ZoneName,OrgName,OrgType,Sex,Age,MarStatus,EduLevele,Fieldcat,Expiriance,Possition,AvilStatistician,ResearchPractice,statisticalprocedures,DataHandling,WayDatAnalysis,AsField,InstStatician,Attention,SuportResearch,Encourage,workposition,understood,DegreeLevel,NeededPlan,Access,Apply,TrianingNeed,Agecat,Expcat,Awareness
Gurage Zone,Agriculture,Government,Male,32,Married,MSc Degree,Agriculture and natural resource,5,profetional worker,Yes,Sometimes,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Female,54,Married,BSc Degree,Natural and computational sciences,6,profetional worker,No,Never,No,prepared by profetionals,in scientific way with profetionals,Yes,Yes,some level agree,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,10-Jun,Yes
Gurage Zone,Agriculture,Government,Female,32,Single,MSc Degree,Agriculture and natural resource,3,profetional worker,Yes,Always,Yes,Besed on the understanding of the worker,on the interest of hiegher body,Yes,No,some level agree,No,No,Yes,No,No,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Male,33,Married,BSc Degree,Agriculture and natural resource,3,profetional worker,Yes,Usually,No,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Male,27,Married,BSc Degree,Agriculture and natural resource,1,profetional worker,No,Never,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,No,Yes,Yes,No,No,No,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Male,36,Married,BSc Degree,Agriculture and natural resource,11,profetional worker,Yes,Never,Yes,Besed on the understanding of the worker,on the interest of hiegher body,Yes,No,Disagree,No,No,No,No,No,Yes,No,Yes,Yes,31-40,15-Nov,Yes
Gurage Zone,Agriculture,Government,Male,32,Married,BSc Degree,Agriculture and natural resource,10,profetional worker,Yes,Always,No,when  asked by the hiegher body,on the interest of hiegher body,Yes,No,Disagree,No,No,Yes,No,No,Yes,Yes,Yes,Yes,31-40,10-Jun,Yes
Gurage Zone,Agriculture,Government,Male,27,Married,BSc Degree,Agriculture and natural resource,3,profetional worker,Yes,Always,Yes,prepared by profetionals,other,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,Yes
Gurage Zone,Agriculture,Government,Male,53,Married,BSc Degree,Agriculture and natural resource,28,Possion holder,Yes,Usually,Yes,Besed on the understanding of the worker,using comittes,Yes,Yes,Agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,Yes
Gurage Zone,Agriculture,Government,Female,46,Married,BSc Degree,Agriculture and natural resource,5,profetional worker,Yes,Sometimes,No,when  asked by the hiegher body,using comittes,No,Yes,some level agree,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Male,29,Single,BSc Degree,Agriculture and natural resource,4,profetional worker,No,Always,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,No,some level agree,No,Yes,No,No,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,Yes
Gurage Zone,Agriculture,Government,Male,38,Married,BSc Degree,Business and economics,6,profetional worker,Yes,Sometimes,Yes,Besed on the understanding of the worker,on the interest of hiegher body,Yes,No,Disagree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,10-Jun,Yes
Gurage Zone,Agriculture,Government,Female,39,Married,BSc Degree,Agriculture and natural resource,5,profetional worker,Yes,Never,No,Besed on the understanding of the worker,on the interest of hiegher body,Yes,No,Disagree,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,Yes
Gurage Zone,Agriculture,Government,Male,38,Married,BSc Degree,Agriculture and natural resource,18,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,More than or equal to 16,Yes
Gurage Zone,Agriculture,Government,Male,34,Married,BSc Degree,Agriculture and natural resource,6,profetional worker,No,Sometimes,No,when  asked by the hiegher body,using comittes,Yes,No,some level agree,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,10-Jun,No
Gurage Zone,Agriculture,Government,Male,23,Married,BSc Degree,Agriculture and natural resource,1,profetional worker,No,Usually,Yes,prepared by profetionals,using comittes,Yes,No,Disagree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Female,32,Married,BSc Degree,Business and economics,13,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Gurage Zone,Agriculture,Government,Male,48,Married,BSc Degree,Agriculture and natural resource,1,profetional worker,No,Usually,Yes,Besed on the understanding of the worker,using comittes,No,No,Disagree,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,More than or equal to 41,less than or equal to 5,Yes
Gurage Zone,Agriculture,Government,Female,25,Married,BSc Degree,Business and economics,2,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,other,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Female,27,Single,BSc Degree,Agriculture and natural resource,16,profetional worker,Yes,Sometimes,Yes,Besed on the understanding of the worker,using comittes,Yes,Yes,some level agree,No,No,No,Yes,Yes,Yes,No,Yes,Yes,20-30,More than or equal to 16,No
Gurage Zone,Agriculture,Government,Female,35,Single,BSc Degree,Agriculture and natural resource,12,profetional worker,Yes,Never,No,prepared by profetionals,on the interest of hiegher body,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,31-40,15-Nov,No
Gurage Zone,Agriculture,Government,Female,42,Single,BSc Degree,Agriculture and natural resource,4,profetional worker,Yes,Sometimes,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,More than or equal to 41,less than or equal to 5,Yes
Gurage Zone,Agriculture,Government,Male,43,Married,MSc Degree,Business and economics,5,profetional worker,Yes,Never,No,prepared by profetionals,on the interest of hiegher body,Yes,No,some level agree,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Male,55,Married,BSc Degree,Business and economics,33,profetional worker,Yes,Never,No,other,on the interest of hiegher body,Yes,Yes,Disagree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,Yes
Gurage Zone,Agriculture,Government,Female,32,Married,MSc Degree,Agriculture and natural resource,8,profetional worker,Yes,Always,Yes,Besed on the understanding of the worker,using comittes,Yes,Yes,Disagree,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,31-40,10-Jun,Yes
Gurage Zone,Agriculture,Government,Male,60,Single,BSc Degree,Agriculture and natural resource,26,profetional worker,No,Always,No,when  asked by the hiegher body,on the interest of hiegher body,Yes,Yes,Disagree,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,Yes
Gurage Zone,Agriculture,Government,Female,32,Married,BSc Degree,Business and economics,13,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Gurage Zone,Agriculture,Government,Female,25,Married,BSc Degree,Business and economics,2,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,other,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,Agriculture,Government,Female,35,Single,BSc Degree,Agriculture and natural resource,12,profetional worker,Yes,Never,No,prepared by profetionals,on the interest of hiegher body,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,31-40,15-Nov,No
Gurage Zone,Agriculture,Government,Male,43,Married,MSc Degree,Business and economics,5,profetional worker,Yes,Never,No,prepared by profetionals,on the interest of hiegher body,Yes,No,some level agree,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,No
Gurage Zone,Education,Government,Female,38,Married,BSc Degree,Business and economics,13,Possion holder,Yes,Always,Yes,prepared by profetionals,using comittes,Yes,Yes,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Gurage Zone,Education,Government,Female,24,Married,BSc Degree,Engineering technology,1,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,Education,Government,Female,52,Single,BSc Degree,Social and humanity,26,profetional worker,No,Always,Yes,prepared by profetionals,other,Yes,No,some level agree,No,No,No,No,No,Yes,No,Yes,Yes,More than or equal to 41,More than or equal to 16,No
Gurage Zone,Education,Government,Female,38,Married,BSc Degree,Business and economics,14,profetional worker,Yes,Never,No,prepared by profetionals,in scientific way with profetionals,Yes,No,Agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,31-40,15-Nov,No
Gurage Zone,Education,Government,Male,28,Single,BSc Degree,Engineering technology,4,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,Yes
Gurage Zone,Education,Government,Male,35,Married,MSc Degree,Natural and computational sciences,1,profetional worker,Yes,Always,No,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,No,No,Yes,No,Yes,Yes,31-40,less than or equal to 5,Yes
Gurage Zone,Education,Government,Male,49,Married,MSc Degree,Behavioral science,2,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Disagree,No,Yes,Yes,No,No,Yes,No,Yes,Yes,More than or equal to 41,less than or equal to 5,Yes
Gurage Zone,Education,Government,Male,53,Married,BSc Degree,Behavioral science,8,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,More than or equal to 41,10-Jun,Yes
Gurage Zone,Education,Government,Male,52,Married,BSc Degree,Behavioral science,7,profetional worker,Yes,Sometimes,No,Besed on the understanding of the worker,other,Yes,No,some level agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than or equal to 41,10-Jun,No
Gurage Zone,Education,Government,Male,58,Married,BSc Degree,Natural and computational sciences,38,profetional worker,Yes,Always,Yes,prepared by profetionals,using comittes,Yes,No,Disagree,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,Yes
Gurage Zone,Education,Government,Female,50,Married,BSc Degree,Behavioral science,1,profetional worker,Yes,Never,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,Yes
Gurage Zone,Education,Government,Male,32,Married,BSc Degree,Behavioral science,4,profetional worker,Yes,Always,No,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Agree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,Yes
Gurage Zone,Education,Government,Male,53,Married,MSc Degree,Behavioral science,10,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,some level agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,10-Jun,Yes
Gurage Zone,Education,Government,Female,38,Married,BSc Degree,Business and economics,13,Possion holder,Yes,Always,Yes,prepared by profetionals,using comittes,Yes,Yes,Disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,15-Nov,Yes
Gurage Zone,Education,Government,Female,52,Single,BSc Degree,Social and humanity,26,profetional worker,No,Always,Yes,prepared by profetionals,other,Yes,No,some level agree,No,No,No,No,No,Yes,No,Yes,Yes,More than or equal to 41,More than or equal to 16,No
Gurage Zone,Education,Government,Male,35,Married,MSc Degree,Natural and computational sciences,1,profetional worker,Yes,Always,No,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,No,Yes,Yes,No,No,Yes,No,Yes,Yes,31-40,less than or equal to 5,Yes
Gamo Zone,Development Association,Non-government,Male,33,Single,BSc Degree,Behavioral science,1,profetional worker,No,Usually,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,No
Gamo Zone,Development Association,Non-government,Male,31,Married,BSc Degree,Business and economics,2,profetional worker,No,Usually,Yes,prepared by profetionals,using comittes,Yes,Yes,some level agree,Yes,No,No,No,No,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,Yes
Gamo Zone,Development Association,Non-government,Male,55,Married,BSc Degree,Natural and computational sciences,5,Possion holder,No,Sometimes,No,Besed on the understanding of the worker,using comittes,Yes,No,some level agree,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,Yes
Gamo Zone,Development Association,Non-government,Male,33,Single,BSc Degree,Behavioral science,1,profetional worker,No,Usually,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Disagree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,30,Married,MSc Degree,Engineering technology,9,Possion holder,Yes,Always,No,prepared by profetionals,using comittes,Yes,No,some level agree,No,No,Yes,No,No,Yes,Yes,Yes,Yes,20-30,10-Jun,Yes
Gurage Zone,water and enerji,Government,Male,40,Married,BSc Degree,Business and economics,7,profetional worker,Yes,Always,No,prepared by profetionals,using comittes,Yes,Yes,some level agree,No,No,Yes,No,No,Yes,Yes,Yes,Yes,31-40,10-Jun,No
Gurage Zone,water and enerji,Government,Female,27,Married,BSc Degree,Engineering technology,2,profetional worker,Yes,Sometimes,Yes,Besed on the understanding of the worker,other,Yes,No,some level agree,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,31,Married,BSc Degree,Behavioral science,7,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Disagree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,31-40,10-Jun,Yes
Gurage Zone,water and enerji,Government,Male,26,Single,BSc Degree,Engineering technology,1,profetional worker,No,Always,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,Disagree,No,No,No,No,Yes,Yes,No,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,28,Single,BSc Degree,Engineering technology,3,profetional worker,Yes,Sometimes,No,prepared by profetionals,on the interest of hiegher body,Yes,Yes,Disagree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,25,Married,BSc Degree,Business and economics,4,profetional worker,No,Never,No,Besed on the understanding of the worker,using comittes,Yes,Yes,some level agree,No,No,No,Yes,Yes,No,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,30,Married,BSc Degree,Engineering technology,3,profetional worker,Yes,Always,No,Besed on the understanding of the worker,other,Yes,No,Disagree,No,No,Yes,No,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,29,Married,BSc Degree,Business and economics,5,profetional worker,Yes,Never,Yes,Besed on the understanding of the worker,using comittes,No,Yes,Disagree,No,Yes,No,No,No,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,29,Married,BSc Degree,Natural and computational sciences,4,profetional worker,No,Never,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,No,Disagree,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,42,Married,BSc Degree,Business and economics,20,profetional worker,No,Usually,No,Besed on the understanding of the worker,using comittes,Yes,No,Disagree,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,More than or equal to 41,More than or equal to 16,No
Gurage Zone,water and enerji,Government,Male,27,Single,BSc Degree,Engineering technology,1,profetional worker,No,Never,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Agree,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,20-30,less than or equal to 5,Yes
Gurage Zone,water and enerji,Government,Female,28,Married,BSc Degree,Engineering technology,2,profetional worker,No,Never,No,prepared by profetionals,in scientific way with profetionals,Yes,Yes,some level agree,No,No,No,No,No,No,Yes,No,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,28,Married,BSc Degree,Engineering technology,4,profetional worker,Yes,Sometimes,Yes,prepared by profetionals,in scientific way with profetionals,Yes,Yes,Agree,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Female,23,Single,BSc Degree,Natural and computational sciences,2,profetional worker,Yes,Never,No,Besed on the understanding of the worker,using comittes,Yes,No,some level agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20-30,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,34,Married,BSc Degree,Engineering technology,5,profetional worker,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,Agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,31-40,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,35,Married,BSc Degree,Natural and computational sciences,4,profetional worker,Yes,Always,Yes,prepared by profetionals,other,Yes,Yes,Agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31-40,less than or equal to 5,Yes
Gurage Zone,water and enerji,Government,Male,25,Single,BSc Degree,Engineering technology,6,profetional worker,Yes,Always,Yes,prepared by profetionals,other,Yes,No,some level agree,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,20-30,10-Jun,Yes
Gurage Zone,water and enerji,Government,Female,33,Married,BSc Degree,Business and economics,10,profetional worker,No,Sometimes,No,Besed on the understanding of the worker,in scientific way with profetionals,Yes,Yes,Agree,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,31-40,10-Jun,Yes
Gurage Zone,water and enerji,Government,Male,29,Married,BSc Degree,Natural and computational sciences,6,profetional worker,No,Sometimes,No,other,using comittes,Yes,No,Disagree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,20-30,10-Jun,No
Gurage Zone,water and enerji,Government,Female,44,Married,BSc Degree,Business and economics,4,Possion holder,Yes,Always,Yes,prepared by profetionals,in scientific way with profetionals,Yes,No,some level agree,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,More than or equal to 41,less than or equal to 5,No
Gurage Zone,water and enerji,Government,Male,34,Married,BSc Degree,Engineering technology,2,profetional worker,Yes,Never,No,prepared by profetionals,using comittes,Yes,Yes,Agree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,31-40,less than or equal to 5,No
